source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2022_h2,2023-07-10,8,2,LPL,CNERGY,"[""8"", """", """", ""LPL"", """", """", ""Lalpir Power Limited"", """", """", ""CNERGY"", """", ""Cnergyico PK Limited"", """"]"
review_2022_h2,2023-07-10,9,2,MERIT,CPPL,"[""9"", """", """", ""MERIT"", """", """", ""Merit Packaging Limited"", """", """", ""CPPL"", """", ""Cherat Packaging Limited"", """"]"
review_2022_h2,2023-07-10,10,2,META,DLL,"[""10"", """", """", ""META"", """", """", ""Meta Tech Health Limited"", """", """", ""DLL"", """", ""Dawood Lawrencepur Limited"", """"]"
review_2022_h2,2023-07-10,11,2,NCPL,EPQL,"[""11"", """", """", ""NCPL"", """", """", ""Nishat Chunian Power Limited"", """", """", ""EPQL"", """", ""Engro Powergen Qadirpur Limited"", """"]"
review_2022_h2,2023-07-10,12,2,OBOY,GADT,"[""12"", """", """", ""OBOY"", """", """", ""Oilboy Energy Limited (Drekkar Kingsway Ltd)"", """", """", ""GADT"", """", ""Gadoon Textile Mills Limited"", """"]"
review_2022_h2,2023-07-10,13,2,PAKD,GFIL,"[""13"", """", """", ""PAKD"", """", """", ""Pak DataCom Limited"", """", """", ""GFIL"", """", ""Ghazi Fabrics International Limited"", """"]"
review_2022_h2,2023-07-10,14,2,PKGP,GTYR,"[""14"", """", """", ""PKGP"", """", """", ""Pakgen Power Limited"", """", """", ""GTYR"", """", ""Ghandhara Tyre & Rubber Company Limited"", """"]"
review_2022_h2,2023-07-10,15,2,QUICE,HABSM,"[""15"", """", """", ""QUICE"", """", """", ""Quice Food Industries Limited"", """", """", ""HABSM"", """", ""Habib Sugar Mills Limited"", """"]"
review_2022_h2,2023-07-10,16,2,STPL,HCL,"[""16"", """", """", ""STPL"", """", """", ""Siddiqsons Tin Plate Limited"", """", """", ""HCL"", """", ""Hallmark Company Limited"", """"]"
review_2022_h2,2023-07-10,17,2,ALNRS,IDRT,"[""17"", """", """", ""ALNRS"", """", """", ""Al-Noor Sugar Mills Limited"", """", """", ""IDRT"", """", ""Idrees Textile Mills Limited"", """"]"
review_2022_h2,2023-07-10,18,2,CHAS,IDSM,"[""18"", """", """", ""CHAS"", """", """", ""Chashma Sugar Mills Limited"", """", """", ""IDSM"", """", ""Ideal Spinning Mills Limited"", """"]"
review_2022_h2,2023-07-10,19,2,HUSI,JATM,"[""19"", """", """", ""HUSI"", """", """", ""Hussain Industries Limited"", """", """", ""JATM"", """", ""J.A. Textile Mills Limited"", """"]"
review_2022_h2,2023-07-10,20,2,INKL,JKSM,"[""20"", """", """", ""INKL"", """", """", ""International Knitwear Limited"", """", """", ""JKSM"", """", ""J.K. Spinning Mills Limited"", """"]"
review_2022_h2,2023-07-10,21,2,KCL,NATF,"[""21"", """", """", ""KCL"", """", """", ""Karam Ceramics Limited"", """", """", ""NATF"", """", ""National Foods Limited"", """"]"
review_2022_h2,2023-07-10,22,2,PMRS,NCL,"[""22"", """", """", ""PMRS"", """", """", ""Premier Sugar Mills Limited"", """", """", ""NCL"", """", ""Nishat Chunian Limited"", """"]"
review_2022_h2,2023-07-10,23,2,SHSML,OTSU,"[""23"", """", """", ""SHSML"", """", """", ""Shahmurad Sugar Mills Limited"", """", """", ""OTSU"", """", ""Otsuka Pakistan Limited"", """"]"
review_2022_h2,2023-07-10,24,2,SINDM,PAKOXY,"[""24"", """", """", ""SINDM"", """", """", ""Sindh Modaraba"", """", """", ""PAKOXY"", """", ""Pakistan Oxygen Limited"", """"]"
review_2022_h2,2023-07-10,25,2,TICL,PCAL,"[""25"", """", """", ""TICL"", """", """", ""Thal Industries Corp Limited"", """", """", ""PCAL"", """", ""Pakistan Cables Limited"", """"]"
review_2022_h2,2023-07-10,26,2,ZAHID,POL,"[""26"", """", """", ""ZAHID"", """", """", ""Zahidjee Textile Mills Limited"", """", """", ""POL"", """", ""Pakistan Oilfields Limited"", """"]"
review_2022_h2,2023-07-10,27,2,,REDCO,"[""27"", """", """", """", """", """", """", """", """", ""REDCO"", """", ""Redco Textiles Limited"", """"]"
review_2022_h2,2023-07-10,28,2,,SHCM,"[""28"", """", """", """", """", """", """", """", """", ""SHCM"", """", ""Shadman Cotton Mills Limited"", """"]"
review_2022_h2,2023-07-10,29,2,,SML,"[""29"", """", """", """", """", """", """", """", """", ""SML"", """", ""Shakarganj Limited"", """"]"
review_2022_h2,2023-07-10,30,2,,SSML,"[""30"", """", """", """", """", """", """", """", """", ""SSML"", """", ""Saritow Spinning Mills Limited"", """"]"
review_2022_h2,2023-07-10,31,2,,TATM,"[""31"", """", """", """", """", """", """", """", """", ""TATM"", """", ""Tata Textile Mills Limited"", """"]"
review_2022_h2,2023-07-10,32,2,,TPLT,"[""32"", """", """", """", """", """", """", """", """", ""TPLT"", """", ""TPL Trakker Limited"", """"]"
review_2022_h2,2023-07-10,33,2,,UPFL,"[""33"", """", """", """", """", """", """", """", """", ""UPFL"", """", ""Unilever Pakistan Foods Limited"", """"]"
review_2023_h1,2023-12-26,1,2,AABS,AGHA,"[""1"", ""AABS"", """", """", ""Al-Abbas Sugar Mills Limited"", """", """", ""AGHA"", """", ""Agha Steel Industries Limited"", """"]"
review_2023_h1,2023-12-26,2,2,AKDHL,ASTM,"[""2"", ""AKDHL"", """", """", ""AKD Hospitality Limited"", """", """", ""ASTM"", """", ""Asim Textile Mills Limited"", """"]"
review_2023_h1,2023-12-26,3,2,ANTM,CFL,"[""3"", ""ANTM"", """", """", ""AN Textile Mills Limited"", """", """", ""CFL"", """", ""Crescent Fibres Limited"", """"]"
review_2023_h1,2023-12-26,4,2,ASL,CHAS,"[""4"", ""ASL"", """", """", ""Aisha Steel Mills Limited"", """", """", ""CHAS"", """", ""Chashma Sugar Mills Limited"", """"]"
review_2023_h1,2023-12-26,5,2,ASTL,CLVL,"[""5"", ""ASTL"", """", """", ""Amreli Steels Limited"", """", """", ""CLVL"", """", ""Cordoba Logistics & Ventures Limited"", """"]"
review_2023_h1,2023-12-26,6,2,AWTX,CSAP,"[""6"", ""AWTX"", """", """", ""Allawasaya Textile & Finishing Mills Ltd^"", """", """", ""CSAP"", """", ""Crescent Steel & Allied Products Limited"", """"]"
review_2023_h1,2023-12-26,7,2,BTL,DAWH,"[""7"", ""BTL"", """", """", ""Blessed Textiles Limited"", """", """", ""DAWH"", """", ""Dawood Hercules Corporation Limited"", """"]"
review_2023_h1,2023-12-26,8,2,CNERGY,FML,"[""8"", """", ""CNERGY"", """", """", ""Cnergyico PK Limited"", """", ""FML"", """", ""Feroze1888 Mills Limited"", """"]"
review_2023_h1,2023-12-26,9,2,CPPL,HRPL,"[""9"", ""CPPL"", """", """", ""Cherat Packaging Limited"", """", """", ""HRPL"", """", ""Habib Rice Product Limited"", """"]"
review_2023_h1,2023-12-26,10,2,EPQL,HUSI,"[""10"", ""EPQL"", """", """", ""Engro Powergen Qadirpur Limited"", """", """", ""HUSI"", """", ""Husein Industries Limited"", """"]"
review_2023_h1,2023-12-26,11,2,FANM,JOPP,"[""11"", ""FANM"", """", """", ""The First Al-Noor Modaraba"", """", """", ""JOPP"", """", ""Johnson & Phillips (Pakistan) Limited"", """"]"
review_2023_h1,2023-12-26,12,2,FFL,KOHP,"[""12"", ""FFL"", """", """", ""Fauji Foods Limited"", """", """", ""KOHP"", """", ""Kohinoor Power Company Limited"", """"]"
review_2023_h1,2023-12-26,13,2,GFIL,META,"[""13"", ""GFIL"", """", """", ""Ghazi Fabrics International Limited"", """", """", ""META"", """", ""MetaTech Trading Limited"", """"]"
review_2023_h1,2023-12-26,14,2,GTYR,NCPL,"[""14"", ""GTYR"", """", """", ""Ghandhara Tyre & Rubber Company Ltd"", """", """", ""NCPL"", """", ""Nishat Chunian Power Limited"", """"]"
review_2023_h1,2023-12-26,15,2,HABSM,PICT,"[""15"", ""HABSM"", """", """", ""Habib Sugar Mills Limited"", """", """", ""PICT"", """", ""Pakistan International Container Terminal limited"", """"]"
review_2023_h1,2023-12-26,16,2,HCL,PKGP,"[""16"", ""HCL"", """", """", ""Hallmark Company Limited"", """", """", ""PKGP"", """", ""Pakgen Power Limited"", """"]"
review_2023_h1,2023-12-26,17,2,IDRT,PMRS,"[""17"", ""IDRT"", """", """", ""Idrees Textile Mills Limited"", """", """", ""PMRS"", """", ""The Premier Sugar Mills & Distillery Company Ltd"", """"]"
review_2023_h1,2023-12-26,18,2,IDSM,SGABL,"[""18"", ""IDSM"", """", """", ""Ideal Spinning Mills Limited"", """", """", ""SGABL"", """", ""S.G Allied Businesses Limited"", """"]"
review_2023_h1,2023-12-26,19,2,JDWS,SGPL,"[""19"", ""JDWS"", """", """", ""JDW Sugar Mills Limited"", """", """", ""SGPL"", """", ""SG Power Limited"", """"]"
review_2023_h1,2023-12-26,20,2,KPUS,SHSML,"[""20"", ""KPUS"", """", """", ""Khairpur Sugar Mills Limited"", """", """", ""SHSML"", """", ""Shahmurad Sugar Mills Limited"", """"]"
